id	log2FoldChange	padj	significant	label
E00487	1.79242	8.39100185931673e-11	EHBIO_UP	-
E00488	0.617296	1.98795280612897e-189	Unchanged	-
E00490	-0.974144	2.37979313307347e-07	Unchanged	-
E00491	0.693847	0.539853186460341	Unchanged	-
E00493	0.998599	0.00210896686901592	Unchanged	-
E00495	-0.704003	1.6305531055958e-13	Unchanged	-
E00498	0.182923	0.00156553230852105	Unchanged	-
E00499	0.878753	0.428318974745528	Unchanged	-
E00500	0.626411	4.52260124560254e-06	Unchanged	-
E00501	-0.585802	4.5554679514175e-17	Unchanged	-
E00502	-0.417253	0.0134268374227425	Unchanged	-
E00503	-0.16261	0.0993558218619468	Unchanged	-
E00504	0.0237232	0.908689596334087	Unchanged	-
E00505	-0.749082	1.04912540351886e-13	Unchanged	-
E00506	-1.25376	1.2545857467907e-25	Baodian_UP	-
E00507	-0.663155	0.847517415536992	Unchanged	-
E00511	0.375907	3.90122706917621e-12	Unchanged	-
E00512	-1.13163	2.13428368988806e-07	Baodian_UP	-
E00513	-0.431424	3.6565637900052e-13	Unchanged	-
E00515	-1.30939	4.7576833021267e-11	Baodian_UP	-
E00516	-1.44673	0.255669330171728	Unchanged	-
E00517	-0.384863	0.000405260661344937	Unchanged	-
E00519	-0.542522	7.88065675703736e-18	Unchanged	-
E00520	-0.544774	1.39415403171642e-58	Unchanged	-
E00521	-0.557821	1.86424115020203e-115	Unchanged	-
E00522	5.34991	6.35288254922485e-156	EHBIO_UP	-
E00523	0.675724	9.1520334694222e-15	Unchanged	-
E00524	0.14557	0.00800763014472185	Unchanged	-
E00525	1.18307	2.09104715534313e-10	EHBIO_UP	-
E00527	0.0872562	0.00702790965001931	Unchanged	-
E00528	0.25414	0.0608208573533554	Unchanged	-
E00529	-0.462292	0.0051540422957319	Unchanged	-
E00531	0.18455	0.585798272857176	Unchanged	-
E00532	-0.22309	1.12847005282992e-07	Unchanged	-
E00536	1.94853	4.53216375363167e-40	EHBIO_UP	-
E00540	0.619113	8.53018298509348e-08	Unchanged	-
E00541	0.571262	1.78853319238578e-51	Unchanged	-
E00542	-0.279158	0.894425295091381	Unchanged	-
E00543	-5.07612	2.08419791451744e-33	Baodian_UP	-
E00546	-0.838759	8.72751261421915e-16	Unchanged	-
E00547	1.96886	2.42997478363733e-71	EHBIO_UP	-
E00549	0.423521	3.31708650040003e-24	Unchanged	-
E00551	1.63232	3.05479921142927e-35	EHBIO_UP	-
E00552	-1.60089	0.183912029320999	Unchanged	-
E00556	1.89595	0.0424952020537169	EHBIO_UP	-
E00557	0.157089	8.80442273619313e-08	Unchanged	-
E00559	0.422755	0.842665146010293	Unchanged	-
E00560	1.72757	3.00881838729433e-45	EHBIO_UP	-
E00561	-0.53183	0.00270648203673109	Unchanged	-
E00563	-0.921557	2.36230185814925e-33	Unchanged	-
E00564	-0.657175	0.779919070045314	Unchanged	-
E00565	-0.790018	1.49870938562056e-113	Unchanged	-
E00566	-1.05766	0.00251089692401838	Baodian_UP	-
E00567	-1.67291	0	Baodian_UP	-
E00568	-0.930676	1.47016736684105e-18	Unchanged	-
E00569	0.325345	3.45469116227695e-06	Unchanged	-
E00571	-0.631396	0	Unchanged	-
E00572	-1.91897	8.71995752655465e-222	Baodian_UP	-
E00576	-0.130326	0.230510242196679	Unchanged	-
E00579	-0.252271	8.53716945871686e-09	Unchanged	-
E00581	0.192022	0.0193435296272877	Unchanged	-
E00582	-2.59104	1.76483597412891e-06	Baodian_UP	-
E00583	-0.346033	7.11820410049331e-14	Unchanged	-
E00585	-0.778848	7.31866970775243e-59	Unchanged	-
E00586	0.443941	1.1069726040335e-08	Unchanged	-
E00587	0.271018	0.000363676126200448	Unchanged	-
E00588	1.63014	3.54670415158338e-07	EHBIO_UP	-
E00589	0.398766	0.744667651109034	Unchanged	-
E00590	-1.7341	0.132672914031429	Unchanged	-
E00593	0.394336	1.73800348876247e-23	Unchanged	-
E00595	-1.16283	2.79547590213986e-08	Baodian_UP	-
E00596	0.212819	1.28311958291564e-16	Unchanged	-
E00597	1.34516	0.253071852462365	Unchanged	-
E00598	-0.190693	0.225439319223905	Unchanged	-
E00599	-1.35684	5.6632194300204e-89	Baodian_UP	-
E00604	0.518519	9.65106907454456e-48	Unchanged	-
E00605	-2.41775	1.23147626605641e-14	Baodian_UP	-
E00606	-1.30316	1.0611841048242e-45	Baodian_UP	-
E00609	-0.305972	0.000507089956041693	Unchanged	-
E00610	-0.118162	0.0686580782167766	Unchanged	-
E00611	2.38272	3.81723967560937e-153	EHBIO_UP	-
E00613	0.190785	0.00875409612655759	Unchanged	-
E00614	-0.180879	0.293020683303938	Unchanged	-
E00618	0.0530653	0.783780882313387	Unchanged	-
E00622	0.20997	0.13526585915029	Unchanged	-
E00632	0.411338	4.76626034809387e-09	Unchanged	-
E00633	1.14882	3.10763194922879e-15	EHBIO_UP	-
E00634	-0.831383	0.0681852494505328	Unchanged	-
E00636	-0.197061	0.477725948289217	Unchanged	-
E00638	-0.458978	5.08194606646426e-06	Unchanged	-
E00640	-1.30361	4.00997032117857e-53	Baodian_UP	-
E00641	0.677331	1.68745097438879e-06	Unchanged	-
E00645	-0.6686	1.23215275553887e-100	Unchanged	-
E00648	-0.131128	0.00022730821883364	Unchanged	-
E00655	0.0628343	0.439159120616641	Unchanged	-
E00657	-0.872603	1.11691584354593e-25	Unchanged	-
E00658	-2.03658	5.83095059802644e-11	Baodian_UP	-
E00661	0.309508	0.00347193630194931	Unchanged	-
E00662	-0.554105	0.000475781634832506	Unchanged	-
E00663	0.0386405	0.701444006066738	Unchanged	-
E00664	-0.698303	4.1937779205176e-13	Unchanged	-
E00665	-0.158208	0.0053347396317887	Unchanged	-
E00692	-0.194424	0.182324505231489	Unchanged	-
E00693	0.454818	3.64632676389992e-08	Unchanged	-
E00695	-1.0553	1.64342225345074e-18	Baodian_UP	-
E00697	0.66505	3.63099858136593e-109	Unchanged	-
E00699	0.464117	6.48992419452008e-05	Unchanged	-
E00700	-0.461203	0.00533657392104311	Unchanged	-
E00701	-0.251962	0.000459787031882089	Unchanged	-
E00702	0.202191	0.00181222443828001	Unchanged	-
E00704	0.501778	0.0293153598422621	Unchanged	-
E00708	3.09888	9.18414108073651e-121	EHBIO_UP	-
E00715	2.75365	0.000958520115580577	EHBIO_UP	-
E00716	-0.0747832	1	Unchanged	-
E00718	-0.673331	4.27474134812478e-42	Unchanged	-
E00720	0.0555	0.82667578652831	Unchanged	-
E00723	-0.923922	2.04055549644344e-05	Unchanged	-
E00728	0.610318	1.79165598166273e-08	Unchanged	-
E00729	0.139587	0.444861062176599	Unchanged	-
E00759	1.10476	0.40775922945006	Unchanged	-
E00763	0.0199179	0.929019673869101	Unchanged	-
E00768	1.708	0.0951611232159714	Unchanged	-
E00774	0.651945	1.73787697870703e-159	Unchanged	-
E00775	0.0171198	1	Unchanged	-
E00777	-0.0420343	0.929019673869101	Unchanged	-
E00778	0.735355	6.66053829692962e-06	Unchanged	-
E00779	-0.57715	2.91199360194195e-06	Unchanged	-
E00780	0.527337	1.67670677802101e-16	Unchanged	-
E00781	0.326486	0.808650857933545	Unchanged	-
E00782	-0.728064	0.563108976921961	Unchanged	-
E00785	-0.349748	8.24131771810628e-06	Unchanged	-
E00786	0.104605	0.318861662914327	Unchanged	-
E00787	-1.37026	0.0402404380129512	Baodian_UP	-
E00795	1.15811	6.50911240093983e-06	EHBIO_UP	-
E00796	-0.844943	7.05690834169949e-170	Unchanged	-
E00798	-0.207418	4.73863827971814e-06	Unchanged	-
E00799	0.392514	5.45101196102997e-26	Unchanged	-
E00800	-0.522922	5.67031946041122e-09	Unchanged	-
E00801	-0.7745	3.09771343828379e-08	Unchanged	-
E00802	-0.606085	0.00342646631742953	Unchanged	-
E00804	-1.76085	6.83576213565035e-132	Baodian_UP	-
E00805	-1.40139	0	Baodian_UP	-
E00808	0.00594316	0.960792772364045	Unchanged	-
E00809	1.43548	9.70179068449514e-196	EHBIO_UP	-
E00811	1.28863	6.58260163569366e-06	EHBIO_UP	-
E00812	-0.474628	1.13313365529195e-07	Unchanged	-
E00814	1.47176	0	EHBIO_UP	-
E00815	-0.809561	7.33022082033366e-114	Unchanged	-
E00816	0.582459	4.33654585711489e-33	Unchanged	-
E00818	0.267519	0.127820773987636	Unchanged	-
E00823	0.0211557	0.840646803229596	Unchanged	-
E00824	0.384543	4.37280900418587e-05	Unchanged	-
E00825	0.44477	0.863579284597491	Unchanged	-
E00826	1.35906	0	EHBIO_UP	-
E00827	0.129573	0.00670866942776078	Unchanged	-
E00831	0.292629	0.00241827393712849	Unchanged	-
E00833	-0.354122	3.56389385645449e-05	Unchanged	-
E00838	0.478142	0.960966568518151	Unchanged	-
E00839	0.260335	0.0792323381058264	Unchanged	-
E00840	3.49447	0	EHBIO_UP	-
E00841	-0.451455	2.84578973402824e-56	Unchanged	-
E00842	0.714536	3.36216428416687e-30	Unchanged	-
E00843	-0.206513	0.722810391884048	Unchanged	-
E00847	-0.379229	6.15571647149477e-09	Unchanged	-
E00848	1.29238	2.25289062105047e-36	EHBIO_UP	-
E00850	-0.513161	0.335188882607075	Unchanged	-
